Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website ,Industries,Founded Year
Pure EV,2024-02-19,660000000.0,Series A,https://www.linkedin.com/company/pureevindia,www.pureev.in,Unknown,
Haber,2024-12-11,6000000.0,Debt Financing,https://www.linkedin.com/company/haber-technologies,www.haberwater.com,Unknown,
Scrut Automation,2024-04-02,10000000.0,Private Equity,https://www.linkedin.com/company/scrut-automation,www.scrut.io,Unknown,
Orange Health Labs,2024-12-06,12000000.0,Venture - Series Unknown,https://www.linkedin.com/company/orange-health,www.orangehealth.in,Unknown,
Bhanzu,2024-11-11,16500000.0,Series B,https://www.linkedin.com/company/bhanzu,bhanzu.com,Unknown,
Battery Smart,2024-06-11,65000000.0,Series B,https://www.linkedin.com/company/batterysmart,www.batterysmart.in,Unknown,
Uniqus Consultech,2024-04-18,10000000.0,Series B,https://www.linkedin.com/company/uniqus-consultech,www.uniqus.com,Unknown,
Digantara,2024-02-27,155400000.0,Series A,https://www.linkedin.com/company/digantara/,www.digantara.co.in/,Unknown,
CoRover,2024-09-24,334000000.0,Series A,https://www.linkedin.com/company/corover,CoRover.ai,Unknown,
The Good Bug,2024-10-15,200000000.0,Series A,https://www.linkedin.com/company/the-good-bug,thegoodbug.com,Unknown,
Billion Hearts,2024-11-20,330000000.0,Seed,https://www.linkedin.com/company/billion-hearts-software-technologies,www.billionhearts.co,Unknown,
SatSure,2024-04-02,5000000.0,Series A,https://www.linkedin.com/company/satsure,satsure.co,Unknown,
CredAble,2024-06-12,300000000.0,Debt Financing,https://www.linkedin.com/company/credable.in,www.credable.in,Unknown,
Moneyview,2024-09-12,386400000.0,Venture - Series Unknown,https://www.linkedin.com/company/money-view/,moneyview.in,Unknown,
Ecofy,2024-01-24,900000000.0,Debt Financing,https://linkedin.com/company/ecofyfinance,www.ecofy.co.in,Unknown,
AstroTalk,2024-06-03,783000000.0,Series A,https://www.linkedin.com/company/astrotalk-online-astrology-predictions/,astrotalk.com/,Unknown,
AppsForBharat,2024-09-10,1510000000.0,Series B,https://www.linkedin.com/company/appsforbharat,appsforbharat.com,Unknown,
dezerv.,2024-07-09,2650000000.0,Series B,https://www.linkedin.com/company/dezerv-in,www.dezerv.in,Unknown,
Solinas Integrity,2024-05-28,5000000.0,Venture - Series Unknown,https://www.linkedin.com/company/solinasin,solinas.in,Unknown,
Qure AI,2024-06-25,65000000.0,Series D,https://www.linkedin.com/company/qure.ai,qure.ai,Unknown,
Even,2024-10-23,30000000.0,Series A,https://www.linkedin.com/company/even-healthcare/,even.in,Unknown,
Vidyut,2024-02-20,5000000.0,Debt Financing,https://www.linkedin.com/company/vidyuttech/,www.vidyuttech.com/,Unknown,
GlobalBees,2024-02-06,1500000000.0,Debt Financing,https://www.linkedin.com/company/globalbees/,www.globalbees.com/,Unknown,
abCoffee,2024-03-08,281000000.0,Series A,https://www.linkedin.com/company/abcoffee-india,abcoffee.in,Unknown,
Scimplifi,2024-08-01,9500000.0,Series A,https://www.linkedin.com/company/scimplifi,www.scimplifi.com,Unknown,
Finarkein Analytics,2024-08-27,4750000.0,Seed,https://www.linkedin.com/company/finarkein/,finarkein.com,Unknown,
SkinInspired,2024-07-15,122500000.0,Seed,https://www.linkedin.com/company/skininspired/,skininspired.in,Unknown,
Nurix AI,2024-09-24,27500000.0,Seed,https://www.linkedin.com/company/nurixai,www.nurix.ai,Unknown,
Yoho,2024-10-15,270000000.0,Series B,https://in.linkedin.com/company/yoholifestyle,yoholife.in,Unknown,
Sprinto,2024-04-09,20000000.0,Series B,https://www.linkedin.com/company/sprinto-com,www.sprinto.com,Unknown,
Lendingkart,2024-06-03,1000000000.0,Debt Financing,https://www.linkedin.com/company/lendingkart,www.lendingkart.com,Unknown,
Ecozen,2024-05-06,240000000.0,Venture - Series Unknown,http://in.linkedin.com/company/ecozen-solutions,ecozensolutions.com,Unknown,
Awign,2024-07-05,24500000.0,Series C,https://www.linkedin.com/company/awign-enterprises,www.awign.com,Unknown,
Lissun,2024-09-30,200000000.0,Seed,https://www.linkedin.com/company/lissun,www.lissun.app/,Unknown,
BigHaat,2024-02-07,695000000.0,Series C,https://www.linkedin.com/company/bighaat-india,www.bighaat.com,Unknown,
Fourth Partner Energy,2024-08-06,275000000.0,Private Equity,https://www.linkedin.com/company/fourth-partner-energy-private-limited,fourthpartner.co,Unknown,
Pandorum Technologies,2024-03-19,880000000.0,Series B,,pandorum.com,Unknown,
Matter,2024-06-26,826000000.0,Series B,https://www.linkedin.com/company/matterindia,matter.in,Unknown,
OneCard,,5000000.0,â€”,https://www.linkedin.com/showcase/onecard-app,www.getonecard.app/,Unknown,
Foxtale,2024-06-12,1500000000.0,Series B,https://www.linkedin.com/company/foxtale-skin/,foxtale.in/,Unknown,
Techjockey,2024-09-19,74000000.0,Angel,https://www.linkedin.com/company/techjockey,www.techjockey.com/,Unknown,
GenWise,2023-04-12,3500000.0,Seed,https://www.linkedin.com/company/genwiseofficial/,www.genwise.club/,Unknown,
Droom,2024-03-21,5000000.0,Venture - Series Unknown,https://www.linkedin.com/company/droom-in,droom.in/,Unknown,
