URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVG_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8,1,0.7777776913580343,0.03781512589153308,238,0.6218487394957983,95.44873949579832,238,148,238,8.029411764705882,3,8.029411764705882
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,8,0.1999999900000005,0.04024144861118421,497,0.5352112676056338,199.0140845070423,497,266,497,7.424547283702213,9,7.424547283702213
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13,3,0.6249999609375024,0.05818181797024793,275,0.5781818181818181,110.2312727272727,275,159,275,7.661818181818182,3,7.661818181818182
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26,12,0.3684210429362884,0.07739307519879211,491,0.6639511201629328,196.6655804480652,491,326,491,8.087576374745417,6,8.087576374745417
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,5,1,0.6666665555555741,0.02479338832730005,242,0.5661157024793388,97.02644628099175,242,137,242,7.946280991735537,3,7.946280991735537
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8,1,0.7777776913580343,0.03781512589153308,238,0.6218487394957983,95.44873949579832,238,148,238,8.029411764705882,3,8.029411764705882
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,8,0.1999999900000005,0.04024144861118421,497,0.5352112676056338,199.0140845070423,497,266,497,7.424547283702213,9,7.424547283702213
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13,3,0.6249999609375024,0.05818181797024793,275,0.5781818181818181,110.2312727272727,275,159,275,7.661818181818182,3,7.661818181818182
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26,12,0.3684210429362884,0.07739307519879211,491,0.6639511201629328,196.6655804480652,491,326,491,8.087576374745417,6,8.087576374745417
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,59,22,0.456790117817406,0.06590724160625935,1229,0.6419853539462979,491.8567941415785,1229,789,1229,7.812855980471928,3,7.812855980471928
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,21,7,0.4999999821428577,0.06879606862703669,407,0.6609336609336609,163.0643734643735,407,269,407,8.191646191646191,3,8.191646191646191
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,30,3,0.8181817933884306,0.0633397311644151,521,0.710172744721689,208.6840690978887,521,370,521,8.472168905950095,8,8.472168905950095
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,23,6,0.5862068763376939,0.08100558636590618,358,0.6731843575418994,143.4692737430168,358,241,358,9.008379888268156,6,9.008379888268156
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,16,6,0.4545454338842984,0.06077348049510088,362,0.6519337016574586,145.060773480663,362,236,362,8.57182320441989,7,8.57182320441989
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,62,17,0.5696202459541742,0.08440170931153664,936,0.6111111111111112,374.6444444444444,936,572,936,7.995726495726496,12,7.995726495726496
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,9,1,0.7999999200000081,0.03174603164525069,315,0.580952380952381,126.232380952381,315,183,315,7.853968253968254,3,7.853968253968254
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,42,7,0.7142856997084551,0.0781499201305424,627,0.6634768740031898,251.0653907496013,627,416,627,8.135566188197767,17,8.135566188197767
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,8,4,0.3333333055555579,0.04918032766729374,244,0.6229508196721312,97.84918032786885,244,152,244,8.594262295081966,5,8.594262295081966
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,16,5,0.5238094988662143,0.05645161275147416,372,0.6102150537634409,149.0440860215054,372,227,372,8.446236559139784,5,8.446236559139784
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,23,7,0.5333333155555561,0.08928571401998299,336,0.6190476190476191,134.647619047619,336,208,336,8.202380952380953,4,8.202380952380953
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,12,2,0.7142856632653098,0.04729729713750913,296,0.5743243243243243,118.6297297297297,296,170,296,7.648648648648648,4,7.648648648648648
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,13,2,0.7333332844444478,0.04777070048480669,314,0.6687898089171974,125.8675159235669,314,210,314,8.146496815286625,4,8.146496815286625
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,13,2,0.7333332844444478,0.04885993469426731,307,0.5863192182410424,123.0345276872964,307,180,307,7.869706840390879,4,7.869706840390879
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,19,1,0.8999999550000022,0.06535947691058995,306,0.6830065359477124,122.6732026143791,306,209,306,8.18954248366013,4,8.18954248366013
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,22,2,0.8333332986111125,0.07741935458896983,310,0.6451612903225806,124.258064516129,310,200,310,8.129032258064516,4,8.129032258064516
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,14,9,0.2173912948960307,0.07210031325360404,319,0.6332288401253918,127.8532915360502,319,202,319,8.100313479623825,4,8.100313479623825
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,12,1,0.8461537810650938,0.04421768692442964,294,0.6054421768707483,117.8421768707483,294,178,294,8.540816326530612,4,8.540816326530612
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,20,1,0.9047618616780065,0.05147058810914071,408,0.5735294117647058,163.4294117647059,408,234,408,7.725490196078431,3,7.725490196078431
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,16,5,0.5238094988662143,0.05965909073960485,352,0.5710227272727273,141.0284090909091,352,201,352,8.613636363636363,6,8.613636363636363
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,24,5,0.655172391200952,0.06170212752829335,470,0.625531914893617,188.2502127659575,470,294,470,7.970212765957447,3,7.970212765957447
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,11,3,0.5714285306122479,0.03899721437605233,359,0.5988857938718662,143.8395543175488,359,215,359,7.777158774373259,4,7.777158774373259
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,49,14,0.5555555467372135,0.106239460191839,593,0.6205733558178752,237.4482293423272,593,368,593,8.146711635750421,7,8.146711635750421
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,18,3,0.7142856802721105,0.03969754245803867,529,0.5330812854442344,211.8132325141777,529,282,529,8.056710775047259,3,8.056710775047259
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,22,6,0.5714285510204089,0.07932011308974472,353,0.6147308781869688,141.4458923512748,353,217,353,7.926345609065156,3,7.926345609065156
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,32,25,0.1228070153893506,0.05491329474478487,1038,0.5202312138728323,415.4080924855492,1038,540,1038,7.436416184971098,3,7.436416184971098
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,17,20,-0.08108107888970058,0.06228956218469771,594,0.5336700336700336,237.813468013468,594,317,594,7.430976430976431,4,7.430976430976431
Netclan20241053,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/,20,7,0.4814814636488347,0.04397394129645938,614,0.6563517915309446,245.8625407166124,614,403,614,7.990228013029316,8,7.990228013029316
